date,id,content,username,like_count,retweet_count
2023-04-02 08:05:29+00:00,1642438088323391488,@BobOfOz @stevestojan @MKBHD @apple_idesigner Yes most likely then. I’m coming from an iPhone XR where the battery was definitely not good anymore (&lt;80%) and the upgrade isn’t THAT good to be honest. But I’m quite a heavy user as well.,theapplecycle,0,0
2023-04-02 06:44:42+00:00,1642417757496164352,@MKBHD iphone biased 🤡,babysiopao21,0,0
2023-04-02 02:20:37+00:00,1642351299462045696,@MKBHD I guess it’s time to ditch my @apple iPhone! @MKBHD finally convinced me to switch to a @SamsungMobile S23 Ultra after watching this video!,Triplestudly,1,0
2023-04-01 18:23:16+00:00,1642231166856986624,@MKBHD where’s the iphone,ChristinNg1,0,0
2023-04-01 18:02:21+00:00,1642225904070938626,"@MKBHD The iPhone 14 Pro mini just released! 😍

📸 - Image: @apple_idesigner https://t.co/pNY7fONo9I",theapplecycle,51,0
2023-04-01 17:57:38+00:00,1642224717921755137,"@edulita360 @MKBHD I had to make that exact choice,I think 1 year back.I ended up buying the iPhone 12 Pro. Because of the software and hassle free data transfer from my old iPhone. And Also a huge huge point, the social media apps just suck on android phones, for me personally it’s snapchat,camera",cheema_boss_,1,0
2023-04-01 16:45:23+00:00,1642206537094660097,"Interesting #iPhone issues 
- consistently drops network and low connectivity 
- heats up aggressively on 4g whereas slowly on Wi-Fi 
- games like call of duty have ping lags. Extremely annoying. 
@MKBHD any views 
@Dave2D any issues you found ow want to investigate?",gattu_panda,0,0
2023-04-01 14:24:14+00:00,1642171015739621376,@edulita360 @MKBHD Neither no point getting today buy S22 Ultra or IPhone 13,Andrew99649,1,0
2023-04-01 13:22:19+00:00,1642155432427810819,"@MKBHD You missed the best iPhone category 
 imo S23Ultra deserves it",A13374701,14,0
2023-04-01 12:55:53+00:00,1642148778781057024,@MKBHD No iPhone?,Kizitopeter8,0,0
2023-04-01 12:52:07+00:00,1642147833552818179,"@MKBHD Hey guys, between iphone 12 and note 20 ultra, wich one is better?",edulita360,2,0
2023-04-01 12:15:22+00:00,1642138584709726212,@MKBHD Team iPhone 14 Pro/Max as always 😎,theapplecycle,12,0
2023-04-01 12:14:42+00:00,1642138415595417602,@MKBHD iPhone is the best,marrgielaa22,2,0
2023-04-01 10:38:16+00:00,1642114148950593537,@willbwrs @MKBHD Seems only Apple can get away with such terrible designs and is users will applaud it as genius. Remember the iPhone with  antenna issues we were told we held incorrectly? 🙄,ocube,0,0
2023-04-01 02:45:39+00:00,1641995208710660097,@MKBHD I have an original working IPhone with original box.  The screen unfortunately has a crack but I am haninging on to it.  I figure it is a tech icon that will be worth something one day.  This confirms my guess.,dtpitts,0,0
2023-04-01 01:51:05+00:00,1641981477658271747,@MKBHD Praying to tech gods for better HDR on iPhone https://t.co/JGUoS7lcBi,_furnx,0,0
2023-04-01 00:19:28+00:00,1641958419631583237,"@MKBHD I do have an iPhone 3S used in its original opened box, if anyone is interested. LOL 😅",skchang,0,0
2023-03-31 21:31:24+00:00,1641916126325006338,@MKBHD iPhone background? 🤔 https://t.co/KK9eqhT8PF,MatteoMombrini,0,0
